Crafts Room,,,,Pantry,,,,Fish Tank,,,,Boiler Room,,,,Bulletin Board,,,,Vault,,
Overall Reward: Bridge Repair,,,,Overall Reward: Greenhouse,,,,Overall Reward: Boulder Removed,,,,Overall Reward: Minecarts Repaired,,,,Overall Reward: Friendship,,,,Overall Reward: Bus Repair,,
Spring Foraging Bundle,,,,Spring Crops Bundle,,,,River Fish Bundle,,,,Geologist's Bundle,,,,Field Research Bundle,,,,"2,500 Bundle",,
Bundle Reward: Spring Seeds,,,,Bundle Reward: Speed-Gro x20,,,,Bundle Reward: Bait x30,,,,Bundle Reward: Omni Geode x5,,,,Bundle Reward: Recycling Machine,,,,Bundle Reward: Chocolate Cake x3,,
# of Items Required: 4,,,,# of Items Required: 4,,,,# of Items Required: 4,,,,# of Items Required: 4,,,,# of Items Required: 4,,,,Item,,Acquired
Item,Location,Acquired,,Item,Location,Acquired,,Item,Location,Acquired,,Item,Location,Acquired,,Item,Location,Acquired,,"2,500 Gold",,No
Wild Horseradish,Foraging,No,,Parsnip,Spring Crops,No,,Sunfish,Check Fish Tab,No,,Quartz,Mines,No,,Purple Mushroom,Mines/Shroom Cave,No,,,,
Daffodil,Foraging,No,,Green Bean,Spring Crops,No,,Catfish,Check Fish Tab,No,,Earth Crystal,Mines 1-39/Geodes,No,,Nautilus Shell,Beach in Winter,No,,"5,000 Bundle",,
Leek,Foraging,No,,Cauliflower,Spring Crops,No,,Shad,Check Fish Tab,No,,Frozen Tear,Mines 40-79,No,,Chub,Check Fish Tab,No,,Bundle Reward: Quality Fertilizer x30,,
Dandelion,Foraging,No,,Potato,Spring Crops,No,,Tiger Trout,Check Fish Tab,No,,Fire Quartz,Mines 80-120,No,,Frozen Geode,Mines 40-79,No,,Item,,Acquired
,,,,,,,,,,,,,,,,,,,,"5,000 Gold",,No
Summer Foraging Bundle,,,,Summer Crops Bundle,,,,Lake Fish Bundle,,,,Adventurer's Bundle,,,,Enchanter's Bundle,,,,,,
Bundle Reward: Summer Seeds,,,,Bundle Reward: Quality Sprinkler x1,,,,Bunde Reward: Dressed Spinner,,,,Bundle Reward: Small Magnet Ring,,,,Bundle Reward: Gold Bar x5,,,,"10,000 Bundle",,
# of Items Required: 3,,,,# of Items Required: 4,,,,# of Items Required: 4,,,,# of Items Required: 2,,,,# of Items Required: 4,,,,Bundle Reward: Lightning Rod,,
Item,Location,Acquired,,Item,Location,Acquired,,Item,Location,Acquired,,Item,Location,Acquired,,Item,Location,Acquired,,Item,,Acquired
Grape,Foraging/Fall Crop,No,,Tomato,Summer Crops,No,,Largemouth Bass,Check Fish Tab,No,,Slime x99,Slimes,No,,Oak Resin,Tapped Oak Tree,No,,"10,000 Gold",,No
Spice Berry,Foraging/Bat Cave,No,,Hot Pepper,Summer Crops,No,,Carp,Check Fish Tab,No,,Bat Wint x99,Bats,No,,Wine,Keg,No,,,,
Sweet Pea,Foraging,No,,Blueberry,Summer Crops,No,,Bullhead,Check Fish Tab,No,,Solar Essence,Ghosts/Mummies,No,,Rabbit's Foot,Rabbits/Serpents,No,,"25,000 Bundle",,
,,,,Melon,Summer Crops,No,,Sturgeon,Check Fish Tab,No,,Void Essence,Shadow Brutes,No,,Pomegranate,Pomegrante Trees/Bat Cave,No,,Bundle Reward: Crystalarium,,
Fall Foraging Bundle,,,,,,,,,,,,,,,,,,,,Item,,Acquired
Bundle Reward: Fall Seeds,,,,Fall Crops Bundle,,,,Ocean Fish Bundle,,,,Blacksmith's Bundle,,,,Fodder Bundle,,,,"25,000 Gold",,No
# of Items Required: 4,,,,Bundle Reward: Bee House x1,,,,Bundle Reward: Warp Totem: Beach x5,,,,Bundle Reward: Furnace,,,,Bundle Reward: Heater,,,,,,
Item,Location,Acquired,,# of Items Required: 4,,,,# of Items Required: 4,,,,# of Items Required: 3,,,,# of Items Required: 3,,,,,,
Common Mushroom,Foraging/Shroom Cave,No,,Item,Location,Acquired,,Item,Location,Acquired,,Item,Location,Acquired,,Item,Location,Acquired,,,,
Wild Plum,Foraging/Bat Cave,No,,Corn,Summer/Fall Crops,No,,Sardine,Check Fish Tab,No,,Copper Bar,Craft/Furnace,No,,Wheat x10,Summer/Fall Crops,No,,,,
Hazelnut,Foraging,No,,Eggplant,Fall Crops,No,,Tuna,Check Fish Tab,No,,Iron Bar,Craft/Furnace,No,,Hay x10,Scythe Grass/Marnie,No,,,,
Blackberry,Foraging/Bat Cave,No,,Pumpkin,Fall Crops,No,,Red Snapper,Check Fish Tab,No,,Gold Bar,Craft/Furnace,No,,Apple x3,Apple Trees/Bat Cave,No,,,,
,,,,Yam,Fall Crops,No,,Tilapia,Check Fish Tab,No,,,,,,,,,,,,
Winter Foraging Bundle,,,,,,,,,,,,,,,,Dye Bundle,,,,,,
Bundle Reward: Winter Seeds,,,,Quality Crops Bundle,,,,Night Fishing Bundle,,,,,,,,Bundle Reward: Seed Maker,,,,,,
# of Items Required: 4,,,,Bundle Reward: Preserves Jar x1,,,,Bundle Reward: Small Glow Ring,,,,,,,,# of Items Required: 6,,,,,,
Item,Location,Acquired,,# of Items Required: 3,,,,# of Items Required: 3,,,,,,,,Item,Location,Acquired,,,,
Winter Root,Till soil in Winter/Mines,No,,Item,Location,Acquired,,Item,Location,Acquired,,,,,,Red Mushroom,Mines/Secret Woods/Shroom Cave,No,,,,
Crystal Fruit,Foraging/Mines,No,,Gold Parsnip x5,Spring Crops,No,,Walleye,Check Fish Tab,No,,,,,,Sea Urchin,Beach Foraging,No,,,,
Snow Yam,Till soil in Winter,No,,Gold Melon x5,Summer Crops,No,,Bream,Check Fish Tab,No,,,,,,Sunflower,Summer/Fall Crops,No,,,,
Crocus,Foraging,No,,Gold Pumpkin x5,Fall Crops,No,,Eel,Check Fish Tab,No,,,,,,Duck Feather,Ducks,No,,,,
,,,,Gold Corn x5,Summer/Fall Crops,No,,,,,,,,,,Aquamarine,Mines,No,,,,
Construction Bundle,,,,,,,,Specialty Fish Bundle,,,,,,,,Red Cabbage,Summer Crops,No,,,,
Bundle Reward: Charcoal Kiln,,,,Animal Bundle,,,,Bundle Reward: Dish o' The Sea x5,,,,,,,,,,,,,,
# of Items Required: 4,,,,Bundle Reward: Cheese Press x1,,,,# of Items Required: 4,,,,,,,,Chef's Bundle,,,,,,
Item,Location,Acquired,,# of Items Required: 5,,,,Item,Location,Acquired,,,,,,Bundle Reward: Pink Cake x3,,,,,,
Wood x99,Trees,No,,Item,Location,Acquired,,Pufferfish,Check Fish Tab,No,,,,,,# of Items Required: 6,,,,,,
Wood x99,Trees,No,,Large Milk,Cows,No,,Ghostfish,Check Fish Tab,No,,,,,,Item,Location,Acquired,,,,
Stone x99,Stones,No,,Large Egg (Brown),Chickens,No,,Sandfish,Check Fish Tab,No,,,,,,Maple Syrup,Tapped Maple Tree,No,,,,
Hardwood x10,Stumps/Logs/Mines,No,,Large Egg (White),Chickens,No,,Woodskip,Check Fish Tab,No,,,,,,Fiddlehead Fern,Secret Woods,No,,,,
,,,,Large Goat Milk,Goats,No,,,,,,,,,,Truffle,Pigs,No,,,,
Exotic Foraging Bundle,,,,Wool,"Sheep, Rabbits",No,,Crab Pot Bundle,,,,,,,,Poppy,Summer Crops,No,,,,
Bundle Reward: Autumn's Bounty x5,,,,Duck Egg,Ducks,No,,Bundle Reward: Crab Pot x3,,,,,,,,Maki Roll,Cooking,No,,,,
# of Items Required: 5,,,,,,,,# of Items Required: 5,,,,,,,,Fried Egg,Cooking,No,,,,
Item,Location,Acquired,,Artisan Bundle,,,,Item,Location,Acquired,,,,,,,,,,,,
Coconut,Calico Desert,No,,Bundle Reward: Keg x1,,,,Lobster,Check Fish Tab,No,,,,,,,,,,,,
Cactus Fruit,Calico Desert,No,,# of Items Required: 6,,,,Crayfish,Check Fish Tab,No,,,,,,,,,,,,
Cave Carrot,Mines,No,,Item,Location,Acquired,,Crab Pot Bundle,Check Fish Tab,No,,,,,,,,,,,,
Red Mushroom,Mines/Secret Woods/Shroom Cave,No,,Truffle Oil,Truffle + Oil Maker,No,,Cockle,Check Fish Tab,No,,,,,,,,,,,,
Purple Mushroom,Mines/Shroom Cave,No,,Cloth,Loom,No,,Mussel,Check Fish Tab,No,,,,,,,,,,,,
Maple Syrup,Tapped Maple Tree,No,,Goat Cheese,Cheese Press,No,,Shrimp,Check Fish Tab,No,,,,,,,,,,,,
Oak Resin,Tapped Oak Tree,No,,Cheese,Cheese Press,No,,Snail,Check Fish Tab,No,,,,,,,,,,,,
Pine Tar,Tapped Pine Tree,No,,Honey,Bee House,No,,Periwinkle,Check Fish Tab,No,,,,,,,,,,,,
Morel,Secret Woods/Shroom Cave,No,,Jelly,Preserves Jar,No,,Oyster,Check Fish Tab,No,,,,,,,,,,,,
,,,FALSE,Apple,Apple Trees/Bat Cave,No,,Clam,Check Fish Tab,No,,,,,,,,,,,,
,,,,Apricot,Apricot Trees/Bat Cave,No,,,,,,,,,,,,,,,,
,,,,Orange,Orange Trees/Bat Cave,No,,,,,,,,,,,,,,,,
,,,,Peach,Peach Trees/Bat Cave,No,,,,,,,,,,,,,,,,
,,,,Pomegranate,Pomegranate Trees/Bat Cave,No,,,,,,,,,,,,,,,,
,,,,Cherry,Cherry Trees/Bat Cave,No,,,,,,,,,,,,,,,,