ACHIEVEMENTS,,,,,,,CRAFT MASTER,,,,,,POLYCULTURE,,
Name,Description,,Unlocks,,Complete,,Name,,Ingredients,Recipe Source,Complete,,Name,,Complete
Greenhorn,"Earn 15,000g",,,Good Ol' Cap,FALSE,,,Ancient Seeds,-Ancient seed (1),Donating Ancient seed to museum,FALSE,,,Amaranth,FALSE
Cowpoke,"Earn 50,000g",,,Lucky Bow,FALSE,,,Bait (5),-Bug meat (1),Fishing level 2,FALSE,,,Artichoke,FALSE
Homesteader,"Earn 250,000g",,,Cool Cap,FALSE,,,Barbed hook,"-Copper bar (1)
-Iron bar (1)
-Gold bar (1)",Fishing level 8,FALSE,,,Beet,FALSE
Millionaire,"Earn 1,000,000g",,,Bowler Hat,FALSE,,,Barrel brazier,"-Wood (50)
-Solar essence (1)
-Coal (1)",Carpenter's shop 800g,FALSE,,,Blueberry,FALSE
Legend,"Earn 10,000,000g (Secret Achievement)",,,Sombrero,FALSE,,,Basic fertilizer,-Sap (2),Farming level 1,FALSE,,,Bok Choy,FALSE
A Complete Collection,Complete the museum collection.,,,Cowboy Hat,FALSE,,,Basic retaining soil,-Stone (2),Farming level 4,FALSE,,,Cauliflower,FALSE
A New Friend,Reach a 5-heart friendship level with someone.,,,Butterfly Bow,FALSE,,,Bee house,"-Wood (40)
-Coal (8)
-Iron bar (1)
-Maple syrup (1)",Farming level 3,FALSE,,,Coffee bean,FALSE
Best Friends,Reach a 10-heart friendship level with someone.,,,Mouse Ears,FALSE,,,Bomb,"-iron ore (4)
-coal (1)",Mining level 6,FALSE,,,Corn,FALSE
The Beloved Farmer,Reach a 10-heart friendship level with 8 people.,,,Cat Ears,FALSE,,,Campfire,"-Stone (10)
-Wood (10)
-Fiber (10)",-,FALSE,,,Cranberries,FALSE
Cliques,Reach a 5-heart friendship level with 4 people.,,,Tiara,FALSE,,,Carved brazier,"-Hardwood (10)
-Coal (1)",Carpenter's shop 2000g,FALSE,,,Eggplant,FALSE
Networking,Reach a 5-heart friendship level with 10 people.,,,Santa Hat,FALSE,,,Cask,"-Wood (20)
-Hardwood (1)",Farmhouse cellar upgrade,FALSE,,,Garlic,FALSE
Popular,Reach a 5-heart friendship level with 20 people.,,,Earmuffs,FALSE,,,Charcoal kiln,"-Wood (20)
-Gold bar (1)",Foraging level 4,FALSE,,,Grape,FALSE
Cook,Cook 10 different recipes.,,,Delicate Bow,FALSE,,,Cheese press,"-Wood (45)
-Stone (45)
-Hardwood (10)
-Copper bar (1)",Farming level 6,FALSE,,,Green bean,FALSE
Sous Chef,Cook 25 different recipes.,,,Plum Chapeau,FALSE,,,Cherry Bomb,"-copper ore (4)
-coal (1)",Mining level 1,FALSE,,,Hops,FALSE
Gourmet Chef,Cook every recipe.,,,Archer's Cap,FALSE,,,Chest,-Wood (50),-,FALSE,,,Hot pepper,FALSE
Moving Up,Upgrade your house.,,,Tropiclip,FALSE,,,Cobblestone path,-Stone (1),-,FALSE,,,Kale,FALSE
Living Large,"Upgrade your house to the maximum size. (2nd upgrade, not cellar)",,,Hunter's Cap,FALSE,,,Cork bobber,"-Wood (10)
-Hardwood (5)
-Slime (10)",Fishing level 7,FALSE,,,Melon,FALSE
D.I.Y.,Craft 15 different items.,,,Daisy,FALSE,,,Crab pot,"-Wood (40)
-Iron bar (3)
[TRAPPER PROFESSION:
-Wood (25)
-Copper bar (2)]",Fishing level 3,FALSE,,,Parsnip,FALSE
Artisan,Craft 30 different items.,,,Trucker Hat,FALSE,,,Crystal floor,-Refined quartz (1),Krobus 500g,FALSE,,,Potato,FALSE
Craft Master,Craft every item.,,,Gnome's Cap,FALSE,,,Crystal path,-Refined quartz (1),"Carpenter's shop 1,000g",FALSE,,,Pumpkin,FALSE
Fisherman,Catch 10 different fish.,,,Sou'wester,FALSE,,,Crystalarium,"-Stone (99)
-Gold bar (5)
-Iridium bar (2)
-Battery pack (1)",Mining level 9,FALSE,,,Radish,FALSE
Ol' Mariner,Catch 24 different fish.,,,Official Cap,FALSE,,,Deluxe speed-gro (5),"-Oak resin (1)
-Coral (1)",Farming level 8,FALSE,,,Red cabbage,FALSE
Master Angler,Catch every fish.,,,Eye Patch,FALSE,,,Dressed spinner,"-Iron bar (2)
-Cloth (1)",Fishing level 8,FALSE,,,Rhubarb,FALSE
Mother Catch,Catch 100 fish.,,,Watermelon Band,FALSE,,,Drum block,"-Stone (10)
-Copper ore (2)
-Fiber (20)",Robin 6 hearts event,FALSE,,,Starfruit,FALSE
Treasure Trove,Donate 40 different items to the museum.,,,Blue Bonnet,FALSE,,,Explosive ammo (5),"-Iron bar (1)
-Coal (2)",Combat level 8,FALSE,,,Strawberry,FALSE
Gofer,Complete 10 'Help Wanted' requests.,,,Polka Bow,FALSE,,,Field snack,"-Acorn (1)
-Maple seed (1)
-Pine cone (1)",Foraging level 1,FALSE,,,Tomato,FALSE
A Big help,Complete 40 'Help Wanted' requests.,,,Chicken Mask,FALSE,,,Flute block,"-Wood (10)
-Copper ore (2)
-Fiber (20)",Robin 6 hearts event,FALSE,,,Wheat,FALSE
Polyculture,Ship 15 of each crop.,,,Cowpoke Hat,FALSE,,,Furnace,"-Copper ore (20)
-Stone (25)","Clint, morning after collecting 1+ copper ore",FALSE,,,Yam,FALSE
Monoculture,Ship 300 of one crop. ,,,Cowgal Hat,FALSE,,,Gate,-wood (10),-,FALSE,,,,
Full Shipment,Ship every item.,,,Goblin Mask,FALSE,,,Gold brazier,"-Gold bar (1)
-Coal (1)
-Fiber (5)",Carpenter's shop 1000g,FALSE,,,,
,,,,,,,,Gravel path,-Stone (1),-,FALSE,,,,
Prairie King,Beat 'Journey of the Prairie King',,,Journey of the Prairie King,FALSE,,,Hardwood fence,-hardwood (1),Farming level 6,FALSE,,,,
The Bottom,Reach the lowest level of the mines,,,Skull key,FALSE,,,Iridium Band,"-Iridium bar (5)
-Solar essence (50)
-Void essence (50)",Combat level 9,FALSE,,,,
Local Legend,Restore the Pelican Town Community Center,,,Stardew Hero Trophy,FALSE,,,Iridium sprinkler,"-Gold bar (1)
-Iridium bar (1)
-Battery pack (1)",Farming level 9,FALSE,,,,
Joja Co. Member of the Year,Become a Joja Co. member and purchase all the community development perks,,,Soda machine,FALSE,,,Iron fence (10),-iron bar (1),Farming level 4,FALSE,,,,
,,,,,,,,Iron Lamp-post,"-Iron bar (1)
-Battery pack (1)",Carpenter's shop 1000g,FALSE,,,,
Mystery of the Stardrops,,Find every stardrop,,,FALSE,,,Jack-O- Lantern,"-Pumpkin (1)
-Torch (1)","Pierre's stand at Spirit's Eve festival 2,000g",FALSE,,,,
Full House,,Get married and have two kids,,,FALSE,,,Keg,"-Wood (30)
-Copper bar (1)
-Iron bar (1)
-Oak resin (1)",Farming level 8,FALSE,,,,
Singular Talent,,Reach level 10 in a skill,,,FALSE,,,Life Elixir,"-Red mushroom (1)
-Purple mushroom (1)
-Morel (1)
-Chanterelle (1)",Combat level 2,FALSE,,,,
Master of the Five Ways,,Reach level 10 in every skill,,,FALSE,,,Lightning rod,"-Iron bar (1)
-Refined quartz (1)
-Bat wing (5)",Foraging level 6,FALSE,,,,
Protector of the Valley,,Complete all of the Adventure Guild Monster Slayer goals,,,FALSE,,,Loom,"-Wood (60)
-Fiber (30)
-Pine tar (1)",Farming level 7,FALSE,,,,
Fector's Challenge,,Beat 'Journey of the Prairie King' without dying (secret achievement),,,FALSE,,,Magnet (3),-Iron bar (1),Fishing level 9,FALSE,,,,
,,,,,,,,Marble brazier,"-Marble (1)
-Aquamarine (1)
-Stone (100)",Carpenter's shop 5000g,FALSE,,,,
,,,,,,,,Mayonnaise Machine,"-Wood (15)
-Stone (15)
-Earth crystal (1)
-Copper bar (1)",Farming level 2,FALSE,,,,
,,,,,,,,Mega Bomb,"-Gold ore (4)
-solar essence (1)
-void essence (1)",Mining level 8,FALSE,,,,
,,,,,,,,Oil maker,"-Slime (50)
-Hardwood (20)
-Gold bar (1)",Farming level 8,FALSE,,,,
,,,,,,,,Oil of garlic,"-Garlic (10)
-Oil (1)",Combat level 6,FALSE,,,,
,,,,,,,,Preserves jar,"-Wood (50)
-Stone (40)
-Coal (8)",Farming level 4,FALSE,,,,
,,,,,,,,Quality fertilizer,"-Sap (2)
-Any fish",Farming level 9,FALSE,,,,
,,,,,,,,Quality retaining soil (2),"-Stone (3)
-Clay (1)",Farming level 7,FALSE,,,,
,,,,,,,,Quality sprinkler,"-Iron bar (1)
-Gold bar (1)
-Refined quartz (1)",Farming level 6,FALSE,,,,
,,,,,,,,Rain totem,"-Hardwood (1)
-Truffle oil (1)
-Pine tar (5)",Foraging level 9,FALSE,,,,
,,,,,,,,Recycling machine,"-Wood (25)
-Stone (25)
-Iron bar (1)",Fishing level 4,FALSE,,,,
,,,,,,,,Ring of Yoba,"-Gold bar (5)
-Iron bar (5)
-Diamond (1)",Combat level 7,FALSE,,,,
,,,,,,,,Scarecrow,"-Wood (50)
-Coal (1)
-Fiber (20)",Farming level 1,FALSE,,,,
,,,,,,,,Seed maker,"-Wood (25)
-Coal (10)
-Gold bar (1)",Farming level 9,FALSE,,,,
,,,,,,,,Skull brazier,"-Hardwood (10)
-Solar essence (1)
-Coal (1)",Carpenter's shop 3000g,FALSE,,,,
,,,,,,,,Slime Egg-Press,"-Coal (25)
-Fire quartz (1)
-Battery pack (1)",Combat level 6,FALSE,,,,
,,,,,,,,Slime incubator,"-Iridium bar (2)
-Slime (100)",Combat level 8,FALSE,,,,
,,,,,,,,Speed-gro (5),"-Pine tar (1)
-Clam (1)",Farming level 3,FALSE,,,,
,,,,,,,,Spinner,-Iron bar (2),Fishing level 6,FALSE,,,,
,,,,,,,,Sprinkler,"-Copper bar (1)
-Iron bar (1)",Farming level 2,FALSE,,,,
,,,,,,,,Staircase,-Stone (99),Mining level 2,FALSE,,,,
,,,,,,,,Stepping stone path,-Stone (1),Carpenter's shop 500g,FALSE,,,,
,,,,,,,,Stone Brazier,"-Stone (10)
-Coal (1)
-Fiber (5)",Carpenter's shop 400g,FALSE,,,,
,,,,,,,,Stone fence,-stone (2),Farming level 2,FALSE,,,,
,,,,,,,,Stone floor,-Stone (1),Carpenter's shop 500g,FALSE,,,,
,,,,,,,,Straw floor,"-Wood (1)
-Fiber (1)","Carpenter's shop 1,000g",FALSE,,,,
,,,,,,,,Stump brazier,"-Hardwood (5)
-Coal (1)",Carpenter's shop 800g,FALSE,,,,
,,,,,,,,Sturdy ring,"-Copper bar (10)
-Refined quartz (5)
-Earth crystal (10)",Combat level 1,FALSE,,,,
,,,,,,,,Tapper,"-Wood (40)
-Copper bar (2)",Foraging level 3,FALSE,,,,
,,,,,,,,Torch,"-Wood (1)
-Sap (2)",-,FALSE,,,,
,,,,,,,,Transmute (Au) / Gold Bar,-Iron bar (2),Mining level 7,FALSE,,,,
,,,,,,,,Transmute (Fe) / Iron Bar,-Copper bar (3),Mining level 4,FALSE,,,,
,,,,,,,,Trap bobber,"-Copper bar (1)
-Sap (10)",Fishing level 6,FALSE,,,,
,,,,,,,,Treasure hunter,-Gold bar (2),Fishing level 7,FALSE,,,,
,,,,,,,,Tub o' Flowers,"-Wood (15)
-Tulip bulb (1)
-Jazz seeds (1)
-Poppy seeds (1)
-Spangle seeds (1)","Pierre's stand at Flower Dance 2,000g",FALSE,,,,
,,,,,,,,Warp totem: Beach,"-Hardwood (1)
-Coral (2)
-Fiber (10)",Foraging level 6,FALSE,,,,
,,,,,,,,Warp totem: Farm,"-Hardwood (1)
-Honey (1)
-Fiber (20)",Foraging level 8,FALSE,,,,
,,,,,,,,Warp totem: Mountains,"-Hardwood (1)
-Iron bar (1)
-Stone (25)",Foraging level 7,FALSE,,,,
,,,,,,,,Warrior ring,"-Iron bar (10)
-Coal (25)
-Frozen tear (10)",Combat level 4,FALSE,,,,
,,,,,,,,Weathered floor,-Wood (1),Dwarf 500g,FALSE,,,,
,,,,,,,,Wicked statue,"-Stone (25)
-Coal (5)",Krobus 1000g,FALSE,,,,
,,,,,,,,Wild bait (5),"-Fiber (10)
-Bug meat (5)
-Slime (5)",Linus 4-heart event,FALSE,,,,
,,,,,,,,Wild Seeds (Fa),"-Common mushroom (1)
-Wild plum (1)
-Hazelnut (1)
-Blackberry (1)",Foraging level 6,FALSE,,,,
,,,,,,,,Wild Seeds (Sp),"-Wild horseradish (1)
-Daffodil (1)
-Leek (1)
-Dandelion (1)",Foraging level 1,FALSE,,,,
,,,,,,,,Wild Seeds (Su),"-Spice berry (1)
-Grape (1)
-Sweet pea (1)",Foraging level 4,FALSE,,,,
,,,,,,,,Wild Seeds (Wi),"-Winter root (1)
-Crystal fruit (1)
-Snow yam (1)
-Crocus (1)",Foraging level 7,FALSE,,,,
,,,,,,,,Wood fence,-wood (2),-,FALSE,,,,
,,,,,,,,Wood floor,-Wood (1),Carpenter's shop 500g,FALSE,,,,
,,,,,,,,Wood Lamp-post,"-Wood (50)
-Battery pack (1)",Carpenter's shop 500g,FALSE,,,,
,,,,,,,,Wood path,-Wood (1),-,FALSE,,,,
,,,,,,,,Wooden brazier,"-Wood (10)
-Coal (1)
-Fiber (5)",Carpenter's shop 250g,FALSE,,,,
,,,,,,,,Worm bin,"-Hardwood (25)
-Gold bar (1)
-Iron bar (1)
-Fiber (50)",Fishing level 8,FALSE,,,,