Picture,Name,Birthday,Loves (80 points),Likes (45 points),Heart events / conversation responses,Universal likes
NON-MARRIAGE CANDIDATES,,,,,,
,Caroline,Winter 7,"-Prismatic shard
-Rabbit's foot
-Fish taco
-Summer spangle","-All Universal Likes (except Amaranth, Duck Mayonnaise, & Mayonnaise)
-Daffodil","-THREE HEARTS: Caroline sends recipe for Parsnip soup
-SIX HEARTS: General store, Caroline and Abigail fighting.
-SEVEN HEARTS: Caroline sends recipe for Vegetable stew","COOKING: 
-All but... 
-NOT fried egg (n) 
-NOT bread (n) 
-NOT strange bun (h) "
,Clint,Winter 26,"-Prismatic shard
-Rabbit's foot
-Amethyst
-Aquamarine
-Artichoke dip
-Emerald
-Fiddlehead risotto
-Gold bar
-Iridium bar
-Jade
-Omni geode
-Ruby
-Topaz","-All Universal Likes (except Flowers)
-Copper bar
-Iron bar","-THREE HEARTS 1: Saloon, 7pm - 11pm Monday. Respond: ""Treat women the same as men."" (+50 friendship.)
-THREE HEARTS 2: Clint sends recipe for algae soup.
-SIX HEARTS: Enter town from Forest, by foot. He asks out Emily.
-SEVEN HEARTS: Clint sends recipe for bean hotpot. ","FRUIT TREE FRUITS:
-Apricot
-Cherry
-Orange
-Peach
-Apple
-Pomegranate

RANDOM:
-Life Elixir
-Maple syrup"
,Demetrius,Summer 19,"-Prismatic shard
-Rabbit's foot
-Bean hotpot
-Ice cream
-Rice pudding
-Strawberry","-All universal likes
-All eggs (except void egg)
-All fruit (Strawberry is love)
-Purple mushroom","-THREE HEARTS: Demetrius sends you recipe for fried mushroom
-SIX HEARTS: His house, arguing with Robin. Respond: ""Fruit"" (+50 friendship.)
-SEVEN HEARTS: Demetrius sends recipe for autumn's bounty","FLOWERS:
-Sweet pea 
-Crocus
-Sunflower 
-Tulip 
-Summer spangle 
-Fairy rose 
-Blue jazz 
-NOT Poppy "
,Dwarf,Summer 22,"-Prismatic shard
-Rabbit's foot
-Amethyst
-Aquamarine
-Emerald
-Jade
-Omni geode
-Ruby
-Topaz","-All Universal Likes
-Dwarf gadget
-All Dwarf scrolls 
-Dwarvish helm
-Quartz",-ZERO HEARTS: Enter sewers after buying a Stardrop from Krobus. No responses. (+50 friendship),"
FORAGED MINERALS: 
-Quartz (varies by villager) 
-Earth crystal 
-Frozen tear 
-Fire quartz"
,Evelyn,Winter 20,"-Prismatic shard
-Rabbit's foot
-Beet
-Chocolate cake
-Diamond
-Fairy rose
-Stuffing
-Tulip","-All Universal Likes (except Fried Eel, Garlic, Maki Roll, Sashimi, Spicy Eel, & Trout Soup)
-All milk
-Daffodil","-FOUR HEARTS: Evelyn's house, she gives you cookie recipe. No responses.
-SEVEN HEARTS: She sends you recipe for Rice pudding.","GEMS:
-Emerald
-Aquamarine
-Ruby
-Amethyst
-Topaz
-Jade
-Diamond
"
,George,Fall 24,"-Prismatic shard
-Rabbit's foot
-Leek
-Fried mushroom","-All Universal Likes (except Flowers)
-Daffodil","-THREE HEARTS: He sends recipe for Fried eel.
-SIX HEARTS: George's house, no responses.
-SEVEN HEARTS: He sends recipe for Spicy eel.","VEGETABLES
-Amaranth
-Artichoke
-Beet"
,Gus,Summer 8,"-Prismatic shard
-Rabbit's foot
-Diamond
-Escargot
-Fish taco
-Orange","-All Universal Likes (except Coleslaw)
-Daffodil","-THREE HEARTS: He sends recipe for Salmon dinner
-FOUR HEARTS: Saloon, Pam needs to pay her tab. Respond: ""The saloon isn't doing well, financially"" (+15 friendship.)
-SEVEN HEARTS: He sends recipe for Cranberry sauce. ","-Bok choy
-Cauliflower
-Corn
-Eggplant
-Fiddlehead fern
-Garlic
-Green bean"
,Jas,Summer 4,"-Prismatic shard
-Rabbit's foot
-Fairy rose
-Pink cake
-Plum pudding","-All Universal Likes (except Artisan Goods & Vegetables)
-Coconut
-Daffodil","BETA: After reaching 8 hearts with Jas and Vincent, the player may trigger a cutscene by entering Cindersap Forest during Spring on a sunny day between 6am and 5pm. During this cutscene, Vincent will show the player how to clean Spring Onions. Afterward, the player will gain ""Spring Onion Mastery"", which permanently increases the sell price of Spring Onions by 5x. Spring Onion Mastery will show in the player's wallet, on the player tab of the inventory menu.","-Kale
-Parsnip
-Potato
-Pumpkin
-Radish
-Red cabbage
-Tomato
-Yam
NOT Wheat and Hops"
,Jodi,Fall 11,"-Prismatic shard
-Rabbit's foot
-Chocolate cake
-Crispy bass
-Diamond
-Eggplant parmesan
-Fried eel
-Pancakes
-Rhubarb pie
-Vegetable medley","-All Universal Likes (except Garlic)
-All eggs (except void egg)
-All fruit (except spice berry)
-All milk","-TWO HEARTS: Can enter her bedroom and find letter from her husband Kent
-THREE HEARTS: She sends recipe for Fried calimari
-FOUR HEARTS: Leave your farmhouse, she invites you to dinner. Must bring largemouth bass. 
-SEVEN HEARTS: She sends recipe for Ice cream. ","ARTISAN GOODS:
-Honey
-Wine
-Juice
-Pale ale
-Beer
-Mead
-Cheese
-Goat cheese
-Coffee"
,Kent,Spring 4,"-Prismatic shard
-Rabbit's foot
-Fiddlehead risotto
-Roasted hazelnuts","-All Universal Likes (except Algae Soup, Sashimi, & Tortilla)
-All eggs (except void egg)
-All fruit
-Daffodil","-THREE HEARTS 1: His home, making popcorn. Respond: ""I know you're hurting... but don't blame your wife."" (+50 friendship.)
-THREE HEARTS 2: He sends recipe for Crispy bass.
-SEVEN HEARTS: He sends recipe for Super meal.","-Cloth 
-Mayonnaise 
-Duck Mayonnaise 
-Truffle oil 
-Pickles 
-Jelly"
,Krobus,Winter 1,"-Prismatic shard
-Rabbit's foot
-Diamond
-Iridium bar
-Pumpkin
-Void egg
-Void mayonnaise
-Wild horseradish","-All Universal Likes (except Cooking & Life Elixir)
-Gold bar
-Quartz",None,
,Lewis,Spring 7,"-Prismatic shard
-Rabbit's foot
-Autumn's bounty
-Glazed yams
-Hot pepper
-Vegetable medley","-All Universal Likes
-Blueberry
-Coconut
-Cactus fruit","-THREE HEARTS: He sends you recipe for Spaghetti.
-SIX HEARTS: Pelican town 7pm - 11pm (Only if also at 6 hearts with Marnie). No effect on friendship.
-SEVEN HEARTS: He sends recipe for Eggplant parmesan.",
,Linus,Winter 3,"-Prismatic shard
-Rabbit's foot
-Blueberry Tart
-Coconut
-Cactus fruit
-Dish o' the sea
-Yam","-All Universal Likes (except Foraged Minerals & Gems other than Diamond & Prismatic Shard)
-All Eggs (except Void Egg)
-All milk
-All Fruit (except Cactus Fruit & Coconut)
-Chanterelle
-Common mushroom
-Daffodil
-Dandelion
-Hazelnut
-Holly
-Leek
-Morel
-Purple mushroom
-Snow yam
-Spring onion
-Wild horseradish
-Winter root","-ZERO HEARTS: Pelican town, going through trash. No effect on friendship.
-THREE HEARTS: He sends recipe for Sashimi.
-FOUR HEARTS: Mountain, he shows you how to craft wild bait.
-SEVEN HEARTS: He sends recipe for Fish taco.
-[BETA] EIGHT HEARTS: Exit Robin's. No effect on friendship.",
,Marnie,Fall 18,"-Prismatic shard
-Rabbit's foot
-Diamond
-Farmer's lunch
-Pink cake
-Pumpkin pie","-All universal likes
-All eggs (except void egg)
-All milk
-Quartz","-THREE HEARTS 1: Leave farmhouse, Marnie asks for cave carrot. Deliver to her ranch.
-THREE HEARTS 2: She sends recipe for Pale broth.
-SIX HEARTS: Pelican town (Only happens if Lewis is also at 6 hearts). Marnie and Lewis arguing. No effect on friendship.
-SEVEN HEARTS: She sends recipe for Rhubarb pie.",
,Pam,Spring 18,"-Prismatic shard
-Rabbit's foot
-Beer
-Cactus fruit
-Glazed yams
-Mead
-Pale ale
-Parsnip
-Parsnip soup","-All Universal Likes
-All fruit (except cactus fruit)
-All milk
-Daffodil","-THREE HEARTS: She sends recipe for Cheese cauliflower
-SEVEN HEARTS: She sends recipe for Stuffing.",
,Pierre,Spring 26,"-Prismatic shard
-Rabbit's foot
-Fried calamari","-All Universal Likes (except Corn, Garlic, Foraged Minerals, Gems other than Diamond & Prismatic Shard, Parsnip Soup, & Tortilla)
-All Eggs (except Void Egg)
-All milk
-Daffodil
-Dandelion","-THREE HEARTS: He sends recipe for Blueberry tart
-SIX HEARTS: Pierre's shop. Respond: Agree to say nothing. Otherwise lose 2 hearts.",
,Robin,Fall 21,"-Prismatic shard
-Rabbit's foot
-Goat cheese
-Peach
-Spaghetti","-All Universal Likes
-All milk
-All fruit (except peach)
-Hardwood
-Quartz","-SIX HEARTS: Her home. She gives you recipes for drum block and music block.
-SEVEN HEARTS: She sends recipe for Pumpkin soup.",
,Sandy,Fall 15,"-Prismatic shard
-Rabbit's foot
-Daffodil
-Crocus
-Sweet pea","-All Universal Likes
-All fruits
-Goat milk (reg or large)
-Quartz
-Wool",-SEVEN HEARTS: She sends recipe for Tom Kha Soup.,
,Vincent,Spring 10,"-Prismatic shard
-Rabbit's foot
-Cranberry candy
-Grape
-Pink cake","-All Universal Likes (except Vegetables and Artisan Goods, does like Mead, does not like oil)
-Coconut
-Daffodil","-EIGHT HEARTS: Conversation. No responses.
-[BETA EIGHT HEARTS]: After reaching 8 hearts with Jas and Vincent, the player may trigger a cutscene by entering Cindersap Forest during Spring on a sunny day between 6am and 5pm. During this cutscene, Vincent will show the player how to clean Spring Onions. Afterward, the player will gain ""Spring Onion Mastery"", which permanently increases the sell price of Spring Onions by 5x. Spring Onion Mastery will show in the player's wallet, on the player tab of the inventory menu.",
,Willy,Summer 24,"-Prismatic shard
-Rabbit's foot
-Catfish
-Diamond
-Iridium bar
-Mead
-Octopus
-Pumpkin
-Sea cucumber
-Sturgeon","-All Universal Likes (except Life Elixir, and All Cooking other than the dishes listed below)
-Gold bar
-Quartz
-Lingcod
-Tiget trout
-Baked fish
-Carp surprise
-Chowder
-Crab cakes
-Crispy bass
-Fish stew
-Fish taco
-Fried calimari
-Fried eel
-Lobster bisque
-Salmon dinner
-Trout soup","-THREE HEARTS: He sends recipe for Chowder.
-FIVE HEARTS: He sends recipe for Escargot.
-[BETA] SIX HEARTS: Beach. Gus will have crab cake special. No responses. 
-SEVEN HEARTS: He sends recipe for Fish stew.
-NINE HEARTS: He sends recipe for Lobster bisque.",
,Wizard,Winter 17,"-Prismatic shard
-Rabbit's foot
-Purple mushroom
-Solar essence
-Super cucumber
-Void essence","-All Universal Likes
-All Geode Minerals
-Quartz","-FOUR HEARTS: Gain access to Wizard's tower, can change appearance any time at Shrine of Illusions for 500g",